ts,user_id,action,payload
2025-08-22T12:19:16Z,457730558,message,/export_csv
2025-08-22T12:18:22Z,457730558,callback,menu:popular
2025-08-22T12:17:29Z,457730558,callback,menu:root
2025-08-22T12:17:26Z,457730558,callback,q:pay:0
2025-08-22T12:17:16Z,457730558,message,оплат
2025-08-22T12:17:06Z,457730558,callback,menu:search
2025-08-22T12:16:56Z,457730558,callback,menu:root
2025-08-22T12:16:54Z,457730558,callback,hv:no:pay:0
2025-08-22T12:16:51Z,457730558,callback,hv:yes:pay:0
2025-08-22T12:16:34Z,457730558,callback,q:pay:0
2025-08-22T12:16:19Z,457730558,callback,cat:pay:0
2025-08-22T12:16:18Z,457730558,callback,menu:cats
2025-08-22T12:16:11Z,457730558,message,/start
2025-08-22T12:16:11Z,457730558,message,/start
2025-08-22T03:54:36Z,457730558,callback,menu:root
2025-08-22T03:54:33Z,457730558,callback,menu:ask
2025-08-22T03:54:31Z,457730558,message,/start
2025-08-22T03:53:41Z,457730558,callback,menu:ask
2025-08-22T03:53:40Z,457730558,message,/start
2025-08-22T03:53:36Z,457730558,callback,menu:ask
2025-08-22T03:51:46Z,457730558,message,/export_csv
2025-08-22T03:51:18Z,457730558,message,/stats
2025-08-22T03:50:12Z,457730558,callback,menu:root
2025-08-22T03:50:11Z,457730558,callback,menu:ask
2025-08-22T03:50:10Z,457730558,callback,menu:root
2025-08-22T03:50:07Z,457730558,callback,menu:popular
2025-08-22T03:50:06Z,457730558,callback,menu:root
2025-08-22T03:50:03Z,457730558,callback,menu:cats
2025-08-22T03:49:39Z,457730558,message,/start
